OBJECTNUMMER;Soort;Prijs_per_gebruik;Dagen_geopend;Openingstijden;Omschrijving;Foto;SELECTIE;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
3;"Amsterdamse krul (m)";0;"";"24 uur";"Singel tov Bloemenmarkt";"IMG_8829.jpg";"KRUL";"POINT(4.8901005,52.3672732)";"POINT(52.3672732,4.8901005)";4.8901005;52.3672732;
4;"Openbaar toilet, toegankelijk voor mindervaliden (m/v)";0.50;"di - do - ma - vr - wo - za - zo";"24 uur per dag";"Koningsplein";"IMG_8832.jpg";"TOEGANG";"POINT(4.8891493,52.3674761)";"POINT(52.3674761,4.8891493)";4.8891493;52.3674761;
5;"Urilift (m)";0;"";"do - za: 15.30 tot 18.00";"Urilift, overdag niet beschikbaar";"reguliersdwarsstraat.JPG";"URILIFT";"POINT(4.8922245,52.3662379)";"POINT(52.3662379,4.8922245)";4.8922245;52.3662379;
115;"Seizoen (m/v)";0;"";"";"";"";"SEIZOEN";"POINT(4.850387,52.344274)";"POINT(52.344274,4.850387)";4.850387;52.344274;
116;"Seizoen (m/v)";0;"";"";"";"";"SEIZOEN";"POINT(4.904739,52.337884)";"POINT(52.337884,4.904739)";4.904739;52.337884;
117;"Seizoen (m/v)";0;"";"";"";"";"SEIZOEN";"POINT(4.859902,52.3569396)";"POINT(52.3569396,4.859902)";4.859902;52.3569396;
118;"Seizoen (m/v)";0;"";"";"";"";"SEIZOEN";"POINT(4.865143,52.356113)";"POINT(52.356113,4.865143)";4.865143;52.356113;
119;"Seizoen (m/v)";0;"";"";"";"";"SEIZOEN";"POINT(4.875723,52.3598552)";"POINT(52.3598552,4.875723)";4.875723;52.3598552;
120;"Seizoen (m/v)";0;"";"";"Sloterstrand";"";"SEIZOEN";"POINT(4.823624,52.371715)";"POINT(52.371715,4.823624)";4.823624;52.371715;
128;"Openbaar toilet (m/v)";0;"";"";"";"";"OPENBAAR";"POINT(4.894844,52.32908)";"POINT(52.32908,4.894844)";4.894844;52.32908;
129;"Openbaar toilet (m/v)";0;"";"";"";"";"OPENBAAR";"POINT(4.893257,52.331949)";"POINT(52.331949,4.893257)";4.893257;52.331949;
130;"Seizoen (m/v)";0;"";"";"";"";"SEIZOEN";"POINT(4.871857,52.358138)";"POINT(52.358138,4.871857)";4.871857;52.358138;
131;"Seizoen (m/v)";0;"";"";"";"";"SEIZOEN";"POINT(4.8738976,52.3593411)";"POINT(52.3593411,4.8738976)";4.8738976;52.3593411;
133;"Seizoen (m/v)";0;"";"";"";"";"SEIZOEN";"POINT(4.86228,52.356173)";"POINT(52.356173,4.86228)";4.86228;52.356173;
134;"Onzeker";0;"";"";"seizoensgebonden";"";"ONZEKER";"POINT(4.85584,52.355803)";"POINT(52.355803,4.85584)";4.85584;52.355803;
137;"Amsterdamse krul (m)";0;"";"24 uur";"Oudekerkplein Zuidzijde";"IMG_9103.jpg";"KRUL";"POINT(4.898222,52.3738954)";"POINT(52.3738954,4.898222)";4.898222;52.3738954;
142;"Amsterdamse krul (m)";0;"";"24 uur";"Singel tov 43";"IMG_9031.jpg";"KRUL";"POINT(4.892418,52.377073)";"POINT(52.377073,4.892418)";4.892418;52.377073;
147;"Amsterdamse krul (m)";0;"di - do - ma - vr - wo - za - zo";"24 uur per dag";"Westermarkt Prinsengracht - twee krullen";"IMG_9022.jpg";"KRUL";"POINT(4.884913,52.374489)";"POINT(52.374489,4.884913)";4.884913;52.374489;
